Title,Year,Male Authors,Female Authors,Unknown Gender Authors,First Author Female,Last Author Female,Total Authors
Business process management and digital transition. The case study of an Italian Public University,2024,3,1,0,False,False,4
Leveraging the industrial internet of things for business process improvement: a metamodel and patterns,2024,2,0,0,False,False,2
Still doing it yourself? Investigating determinants for the adoption of intelligent process automation,2024,4,0,0,False,False,4
Exploring the Limitations of Business Process Maturity Models: A Systematic Literature Review,2024,1,2,0,True,True,3
INTEGRATED MODEL OF RISK MANAGEMENT IN BUSINESS PROCESSES IN INDUSTRIAL SYSTEMS,2024,0,0,5,False,False,5
R-IO SUITE: integration of LLM-based AI into a knowledge management and model-driven based platform dedicated to crisis management,2024,3,2,0,True,False,5
Improving Process Mining Maturity – From Intentions to Actions,2024,5,1,0,False,False,6
BPMN extension evaluation for security requirements engineering framework,2024,1,1,0,True,False,2
MODELING AND ANALYSIS OF BUSINESS PROCESS MANAGEMENT SYSTEMS USING TIMED WORKFLOW NETS WITH TABLES,2024,2,0,0,False,False,2
Multi-Perspective Data Fusion Framework Based on Hierarchical BERT: Provide Visual Predictions of Business Processes,2024,3,0,0,False,False,3
How do digital startups manage their activities? Insights and opportunities for business process management,2024,1,2,1,False,True,4
"Process Query Language: Design, Implementation, and Evaluation",2024,4,1,0,False,True,5
Business Process Performance: Investigating the Impact of Process-Oriented Appraisals and Rewards on Success,2024,1,2,0,False,True,3
Best practices for business process automation description–a case study,2024,2,1,0,True,False,3
Consistency Analysis of Collaborative Process Data Change Based on a Rule-Driven Method,2024,1,1,0,True,False,2
Conversing with business process-aware large language models: the BPLLM framework,2024,2,2,0,False,True,4
A User Study on Modeling IoT-Aware Processes with BPMN 2.0,2024,3,0,0,False,False,3
Design and implementation of a process-aware accounting information system to improve business process management,2024,0,1,0,True,True,1
Should knowledge management in organizations be rebranded?,2024,1,1,0,True,False,2
Event log anomaly detection method based on auto-encoder and control flow,2024,1,0,1,False,False,2
Business process improvement with AB testing and reinforcement learning: grounded theory-based industry perspectives,2024,3,1,0,False,False,4
"A Web-based System for Business Process Discovery: Leveraging the SICN-Oriented Process Mining Algorithm with Django, Cytoscape, and Graphviz",2024,0,0,4,False,False,4
Development of Intellectual Decision Making System for Logistic Business Process Management,2024,1,7,0,True,True,8
Process mining beyond workflows,2024,1,1,1,False,True,3
Data Governance to Counter Hybrid Threats against Critical Infrastructures,2024,1,1,0,False,True,2
Benchmarking Answer Set Programming systems for resource allocation in business processes,2022,2,1,0,False,False,3
A Machine Translation Like Approach to Generate Business Process Model from Textual Description,2023,1,2,0,False,True,3
A Flexible Approach to Multi-party Business Process Execution on Blockchain,2023,3,3,0,False,False,6
Modelling and Predictive Monitoring of Business Processes under Uncertainty with Reinforcement Learning,2023,4,1,1,False,False,6
Motivations to Adopt BPM in View of Digital Transformation,2024,0,3,0,True,True,3
Towards a method to quantitatively measure toolchain interoperability in the engineering lifecycle: A case study of digital hardware design,2023,4,0,0,False,False,4
"Toward an interoperable, intraoperative situation recognition system via process modeling, execution, and control using the standards BPMN and CMMN",2024,3,4,0,True,False,7
Process Discovery Techniques Recommendation Framework,2023,1,1,0,False,True,2
A model-driven transformation approach for the modelling of processes in clinical practice guidelines,2023,1,3,0,True,False,4
Cost-efficient auto-scaling of container-based elastic processes,2023,3,1,0,True,False,4
Sustainability in supply chains: reappraising business process management,2023,0,1,3,True,False,4
AI-augmented Business Process Management Systems: A Research Manifesto,2023,11,2,1,False,False,14
Utilizing the omnipresent: Incorporating digital documents into predictive process monitoring using deep neural networks,2023,3,0,0,False,False,3
